table,category,itemid_merge,itemid
labevents,laboratory,50861,50861
labevents,laboratory,50862,50862
labevents,laboratory,50863,50863
labevents,laboratory,50868,50868
labevents,laboratory,50878,50878
labevents,laboratory,51463,51463
labevents,laboratory,50802,50802
labevents,laboratory,51146,51146
labevents,laboratory,50882,50882
labevents,laboratory,51464,51464
labevents,laboratory,50885,50885
labevents,laboratory,51466,51466
labevents,laboratory,50893,50893
labevents,laboratory,50902,50902
labevents,laboratory,50902,50806
labevents,laboratory,50910,50910
labevents,laboratory,50911,50911
labevents,laboratory,50912,50912
labevents,laboratory,50912,51081
labevents,laboratory,50912,52024
labevents,laboratory,51200,51200
labevents,laboratory,51476,51476
labevents,laboratory,50920,50920
labevents,laboratory,51214,51214
labevents,laboratory,50808,50808
labevents,laboratory,50809,50809
labevents,laboratory,50931,50931
labevents,laboratory,51478,51478
labevents,laboratory,51478,51084
labevents,laboratory,51221,51221
labevents,laboratory,50810,50810
labevents,laboratory,51222,51222
labevents,laboratory,51222,50811
labevents,laboratory,51237,51237
labevents,laboratory,50812,50812
labevents,laboratory,51484,51484
labevents,laboratory,50813,50813
labevents,laboratory,50954,50954
labevents,laboratory,51486,51486
labevents,laboratory,51244,51244
labevents,laboratory,51244,51245
labevents,laboratory,50960,50960
labevents,laboratory,51248,51248
labevents,laboratory,51249,51249
labevents,laboratory,51250,51250
labevents,laboratory,51254,51254
labevents,laboratory,51256,51256
labevents,laboratory,51487,51487
labevents,laboratory,51491,51491
labevents,laboratory,51491,51094
labevents,laboratory,50970,50970
labevents,laboratory,51265,51265
labevents,laboratory,50971,50971
labevents,laboratory,50971,50822
labevents,laboratory,51492,51492
labevents,laboratory,51274,51274
labevents,laboratory,51275,51275
labevents,laboratory,51493,51493
labevents,laboratory,51277,51277
labevents,laboratory,52172,52172
labevents,laboratory,51279,51279
labevents,laboratory,50983,50983
labevents,laboratory,50983,50824
labevents,laboratory,51498,51498
labevents,laboratory,50825,50825
labevents,laboratory,51003,51003
labevents,laboratory,51006,51006
labevents,laboratory,51512,51512
labevents,laboratory,51514,51514
labevents,laboratory,50828,50828
labevents,laboratory,51516,51516
labevents,laboratory,51301,51300
labevents,laboratory,51301,51301
labevents,laboratory,51519,51519
chartevents,laboratory,50802,224828
chartevents,laboratory,225698,225698
chartevents,laboratory,223679,223679
chartevents,laboratory,50808,225667
chartevents,laboratory,50810,226540
chartevents,laboratory,50813,225668
chartevents,laboratory,220227,220227
chartevents,laboratory,220235,220235
chartevents,laboratory,226062,226062
chartevents,laboratory,223830,223830
chartevents,laboratory,220274,220274
chartevents,laboratory,220224,220224
chartevents,laboratory,226063,226063
chartevents,laboratory,50971,227464
chartevents,laboratory,50861,220644
chartevents,laboratory,50862,227456
chartevents,laboratory,50863,225612
chartevents,laboratory,50868,227073
chartevents,laboratory,50878,220587
chartevents,laboratory,50882,227443
chartevents,laboratory,50885,225690
chartevents,laboratory,50893,225625
chartevents,laboratory,50902,220602
chartevents,laboratory,50902,226536
chartevents,laboratory,50910,225634
chartevents,laboratory,50911,227445
chartevents,laboratory,50912,220615
chartevents,laboratory,50912,229761
chartevents,laboratory,50931,220621
chartevents,laboratory,50931,226537
chartevents,laboratory,50954,220632
chartevents,laboratory,50960,220635
chartevents,laboratory,50970,225677
chartevents,laboratory,50971,227442
chartevents,laboratory,50983,220645
chartevents,laboratory,50983,226534
chartevents,laboratory,51003,227429
chartevents,laboratory,51006,225624
chartevents,laboratory,51146,225639
chartevents,laboratory,51200,225640
chartevents,laboratory,51214,227468
chartevents,laboratory,51221,220545
chartevents,laboratory,51222,220228
chartevents,laboratory,51237,227467
chartevents,laboratory,51244,225641
chartevents,laboratory,51254,225642
chartevents,laboratory,51256,225643
chartevents,laboratory,51265,227457
chartevents,laboratory,51274,227465
chartevents,laboratory,51275,227466
chartevents,laboratory,51301,220546
chartevents,laboratory,51491,220734
chartevents,laboratory,51498,227471
chartevents,laboratory,225664,225664
chartevents,vitalsigns,220045,220045
chartevents,vitalsigns,220048,220048
chartevents,vitalsigns,220179,220179
chartevents,vitalsigns,220179,220050
chartevents,vitalsigns,220179,224167
chartevents,vitalsigns,220179,227243
chartevents,vitalsigns,220180,220180
chartevents,vitalsigns,220180,220051
chartevents,vitalsigns,220180,224643
chartevents,vitalsigns,220180,227242
chartevents,vitalsigns,220181,220181
chartevents,vitalsigns,220181,220052
chartevents,vitalsigns,223762,223761
chartevents,vitalsigns,223762,223762
chartevents,vitalsigns,224650,224650
chartevents,vitalsigns,224650,226479
chartevents,vitalsigns,224651,224651
chartevents,vitalsigns,224651,226480
chartevents,respiratory,220210,220210
chartevents,respiratory,220277,220277
chartevents,respiratory,223835,223835
chartevents,respiratory,220210,224688
chartevents,respiratory,220210,224689
chartevents,respiratory,220210,224690
